Name,URL,Hash,Test,No_Runs
pymannkendall,https://github.com/mmhs013/pymannkendall,081a1dec1456b682f0f86488b50d47f9f97ec9dd,pymannkendall/tests/test_pymannkendall.py::test_pymannkendall::test_hamed_rao_modification_test,198.0
pymemorydb,https://github.com/davidbetz/pymemorydb,9c8e864957d6fe754539601fd67a7b802b5ceb35,pymemorydb/test_textanalysis.py::TestApp::test_get_tokenized_data_two_indices,200.0
pypfm,https://github.com/Wats0ns/pypfm,78cccd19d7dbc73e54f8ae915c8a9a36310a8950,pypfm/tests/test_pfm.py::test_pfm::test_save_and_load_with_compression,160.0
pysshutil,https://github.com/choppsv1/pysshutil,e3ab876ed7b76637e6f5a0870cd41ea1f3d47fdb,pysshutil/tests/test_server.py::test_server::test_server_close_cache,180.0
pysshutil,https://github.com/choppsv1/pysshutil,e3ab876ed7b76637e6f5a0870cd41ea1f3d47fdb,pysshutil/tests/test_server.py::test_server::test_server_close_no_cache,180.0
python-matlab-functions,https://github.com/fzyukio/python-matlab-functions,2860bf48f904d546af75143c531750c8857670bc,python-matlab-functions/tests/test_subind.py::Test::test_ind2sub,180.0
python-matlab-functions,https://github.com/fzyukio/python-matlab-functions,2860bf48f904d546af75143c531750c8857670bc,python-matlab-functions/tests/test_subind.py::Test::test_sub2ind,180.0
python-timemarker,https://github.com/davidr/python-timemarker,16fc4d4f9d6b534b94005169c977ed143f4f9dc5,python-timemarker/tests/test_timer.py::TestPctgTimer::test_twotag_pctg,200.0
r_map,https://github.com/mentaal/r_map,56cad81c91153d81e831d6afa49b92e5117c2171,r_map/tests/test_data_structure.py::test_data_structure::test_bit_reg_linkage,180.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_attribute_types,140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_player_clan,140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_player_exists,140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_player_exp,140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_player_name,140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[0-0],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[13-0],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[26-0],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[3-1154],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[8-100],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[CoNsTiTutioN-1154],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[WoOdcuttIng-100],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[aTTacK-0],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[attack-0],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[constitution-1154],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_exp[woodcutting-100],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[0-1],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[13-1],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[26-1],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[3-10],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[8-2],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[ConstItuTion-10],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[atTaCk-1],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[attack-1],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[constitution-10],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[wOoDcutTing-2],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_skill_level[woodcutting-2],140.0
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,rs3clans.py/tests/test_players.py::test_players::test_status_codes,140.0
service-manager,https://github.com/hmrc/service-manager,e0a9f2a08e139e23d8a1199a2208b4f5a355a0be,service-manager/test/unit/test_smdownload.py::TestSmDownload::test_reporthook10percent,180.0
service-manager,https://github.com/hmrc/service-manager,e0a9f2a08e139e23d8a1199a2208b4f5a355a0be,service-manager/test/unit/test_smdownload.py::TestSmDownload::test_reporthook20percent,180.0
setigen,https://github.com/bbrzycki/setigen,30acd4645896d07c660be2ba00542f64b5c64316,setigen/tests/test_noise_generation.py::test_noise_generation::test_hres_chi2,180.0
setigen,https://github.com/bbrzycki/setigen,30acd4645896d07c660be2ba00542f64b5c64316,setigen/tests/test_noise_generation.py::test_noise_generation::test_very_hres_chi2,180.0
