Project_Name,Project_URL,Project_Hash,Num_Runs
carbonize,https://github.com/eillarra/carbonize,efc89b8a9e44f9d64110406ce70929a9671517c7,180.0
cdQA,https://github.com/cdqa-suite/cdQA,40387925db8f0da44a5bd2fe549cde675a92d479,180.0
cenpy,https://github.com/ljwolf/cenpy,03eefcfd885c48e018cf74abaf46ee03aa7ac119,180.0
cfgsaver,https://github.com/prahladyeri/cfgsaver,9654076b418c96bcddbf2fddc5fdb0f6f4117278,200.0
cfitall,https://github.com/wryfi/cfitall,690a84fe9fd820b8b77bc2bb1fe621231a2ed3f7,160.0
colltools,https://github.com/JakubTesarek/colltools,e50f98ccda33ab409fcdba277a39f071824e24c7,180.0
compare-mt,https://github.com/neulab/compare-mt,92502b30b1f228773179a01dd86fe1b8dfd400e5,180.0
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,200.0
configaro,https://github.com/mojochao/configaro,d7b432fb2f99c4cb3c3208082f0afff62454c83d,180.0
configparse,https://github.com/jyn514/configparse,d7a4ee5b121de2be1858104723bdb7ac47df64ce,180.0
cork,https://github.com/psbleep/cork,e2c5f9d79d102f46e334f608389a10ae864003d3,200.0
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,200.0
cricket-cli,https://github.com/cbirajdar/cricket-cli,fb0c8752aef14f2e30f7c0e772486a23c7e4a14d,180.0
cronjob,https://github.com/havefun-plus/cronjob,a2fd9289f44696c5c06ece9cec8dc5315300eecf,200.0
cronpi,https://github.com/dakc/cronpi,6edb324c621f691b2840dcd6b54087b1044417ed,180.0
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64,140.0
cw-sdk-python,https://github.com/cryptowatch/cw-sdk-python,92bd90db16dfc116c0708d19d27208d9bfc990c1,180.0
cycle-calendar-generator,https://github.com/ROldford/cycle_calendar_generator,729194154cc540a1d21fa77a77dba3ff820d56be,200.0
cylleneus,https://github.com/wmshort/cylleneus,93de520e082300b90f9f92a4ce405f3a2123748d,180.0
cytominer-database,https://github.com/cytomining/cytominer-database,3926b55627e76a319460d6ac3ff4bdf65e1f5f98,185.0
dame,https://github.com/malpunek/dame,d6568d3088dd0a8b87eb5d278e04ab857a622418,180.0
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,80.0
dar,https://github.com/alanbato/dar,15da1a444bb800b3d1e4571e2fd1609190b7dffb,200.0
darkchess,https://github.com/vishalsubbiah/darkchess,c626de547c3e58a77f25fddb86de9b07bc47ae86,180.0
data-partitioner,https://github.com/brahle/data_partitioner,c37bca05576648c3f69f8694951bb2ae9ea9ed21,200.0
datapungibea,https://github.com/jjotterson/datapungibea,fe3b262b7e2ceffd12621693c94af9b6cc43e408,160.0
daymetpy,https://github.com/khufkens/daymetpy,539f8d47315f0f68f86875d7805541dadcb76604,180.0
dedoop,https://github.com/edsu/dedoop,37b29dade43afb1a52e3424b6a0a98a7018c8283,200.0
deezload,https://github.com/vanyakosmos/deezload,8a25f4657d648a3c70b6287a9828cec724c8fa0e,200.0
deviceidentifier-py,https://github.com/reincubate/deviceidentifier-py,e6ddf73c6ab3b26a703bca8619fc999dfeaeb5d2,160.0
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,200.0
dict,https://github.com/wufeifei/dict,89e730dbc035da6b5ceb598833d2eafc5343864d,160.0
dikicli,https://github.com/silenc3r/dikicli,2304a0ab3cd07b442207a347f2924699741a52bd,163.0
discovery-client,https://github.com/tomwei7/discovery-client,b10094532ae22eaebd9d093f9550fa75886a3a88,180.0
django-db-connection-retrier,https://github.com/SectorLabs/django-db-connection-retrier,515deb6c00006251a29f1809ec723c989f3c1df5,160.0
django-rest-framework-passwordless,https://github.com/aaronn/django-rest-framework-passwordless,7fe00dfbef8d163078160c7f317b26ed630fc8cc,160.0
djangorestframework-stubs,https://github.com/typeddjango/djangorestframework-stubs,dd7f7109870624c6cce5de9b55c985d543e715d3,180.0
dns-over-https,https://github.com/wglodek/dns-over-https,af56580149c8570ea3ba6ea3a5b5b12cf3dadfd2,200.0
do-the-webp,https://github.com/pedrovanzella/do-the-webp,09b372de1c4f1d73d9284517c57c0d869f55144b,166.0
docci,https://github.com/potykion/docci,24cb73232d32e69a412512ed2f110fbbfde99768,200.0
docker-pretty-ps,https://github.com/politeauthority/docker-pretty-ps,2fcc9db4e391df2b96ccc2e967b41b6263fdcc2d,200.0
dockerfile_bakery,https://github.com/kujyp/dockerfile_bakery,fc531752d9fe901375636377dac884a6b750e146,200.0
dockerpy-creds,https://github.com/shin-/dockerpy-creds,9c0b66d2e445a838e1518f2c3273df7ddc7ec0d4,180.0
domain-validation,https://github.com/ElliotVilhelm/python-domain-validation,941a6ae29c565f49e98f106b427624874b47f973,160.0
domain2idna,https://github.com/PyFunceble/domain2idna,39a1c4e1ebb877ed511e53b618fbe437a685c970,180.0
domainconnect_python,https://github.com/Domain-Connect/domainconnect_python,b2b3b2d4e279b596c7870f1bad9d168bf55cf3e9,160.0
dotdrop,https://github.com/deadc0de6/dotdrop,5b2b05d353756bd09018f9dba049d0598cf632bb,180.0
dremio_client,https://github.com/rymurr/dremio_client,027329f0910ab26a08774f11bd47a5a6999038cc,5.0
dtool-http,https://github.com/jic-dtool/dtool-http,04a13ccb3f252873228ac0d2d4df53c791157217,200.0
dummy_file_generator,https://github.com/datahappy1/dummy_file_generator,f0a27725e1c04b4b2e0259167f10d8f76cfed9d1,200.0
duplicity_backup,https://github.com/jberends/duplicity_backup,8aaad2dac623a72c5d83df19fd349e50baabb7e3,5.0
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,180.0
dzonegit,https://github.com/oskar456/dzonegit,8f952086aa41aee4ebb7432926ed8c6a9211ac9f,200.0
easyquotation,https://github.com/shidenggui/easyquotation,01d7f8795a460b284ff1af8221903156d23b335f,4.0
ebaipy,https://github.com/brucehe3/ebaipy,2fc6740ee5355948ca2e7f2874ee5edb9acbd578,200.0
elemental.git,https://github.com/cbsinteractive/elemental.git,ca570c9f5fc43e20a4db23fc0137380f87be63f0,180.0
empyricalRMT,https://github.com/stfxecutables/empyricalRMT,942060955f2e4c8e464d9fda20a4e1951a63fe9b,160.0
emu,https://github.com/ChrisCummins/emu,3fa30e7a0d56b4f05deaebc05df64a22d708a63c,200.0
engfmt,https://github.com/kenkundert/engfmt,b908ef69aa7941e561019e24f969703f3234753b,140.0
envdir,https://github.com/jezdez/envdir,0db9594a66b58aad7731edc5b20e9436bfe2f971,60.0
envyaml,https://github.com/thesimj/envyaml,79a220cabb69d71397310d941de205610cf5e4cb,200.0
erepublik,https://github.com/eeriks/erepublik,ad29045acef911224650f8a975c72b9cef4e88aa,160.0
esy.git,https://github.com/kriberg/esy.git,6b0cc47402772c68c41efe3e8a56b2aaa0e27228,180.0
event-bus,https://github.com/seanpar203/event-bus,5353d6472926a299ab4f3a8c33114a725d5b7639,200.0
excelt2json,https://github.com/malongge/exceltojson,6724c7de5153a7b125011e879419273589206d0d,200.0
exonum-launcher,https://github.com/exonum/exonum-launcher,d42f79046f815514b284fe242a8c5abccaf9f805,200.0
expstock,https://github.com/chie8842/expstock,28b7ece83fa601efd2b6c4b8b7bdd1a3b9ebc1df,180.0
extractpdf,https://github.com/WeAreDevelopers-com/extractpdf,2a1ee7640da0e9f46ae6bef7f6aeb1eb36c5f185,180.0
eyeflask,https://github.com/n8henrie/eyeflask,0fc6b042aac6e30885ecb2d6817fb67fad6e07d4,160.0
fairsearchdeltr-python,https://github.com/fair-search/fairsearchdeltr-python,5bc2e8f0bf24ecd492978474919f512d3c0b65e1,200.0
fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,8ddf0edab22873365441757107ce21234bc09f8f,180.0
fdep,https://github.com/checkr/fdep,36fba98e6b3af35adf238c61f700a8138c090a5e,100.0
featureflagclient-python,https://github.com/tmaslen/featureflagclient-python,05cd5705d3d51488da9ce5a4d1ade65d8fd49e82,180.0
fileguard,https://github.com/iluxonchik/fileguard,73854b783faadb8e5370c407b897049131a42e50,200.0
findatabroker,https://github.com/tomerten/findatabroker,204c433d51e2d2de5c132a4607cd504809fd4a71,200.0
fistro,https://github.com/kingoodie/fistro,42c129d058fe017d3d1436da4350b6842f1c5535,140.0
fitbert,https://github.com/Qordobacode/fitbert,4b0f2f3f47e5a3fea0ee59d65f71c44b830a93d9,180.0
flask-ipban,https://github.com/Martlark/flask-ipban,882a25495be55609e5d9a058b8139b78836d64d4,200.0
flask-request-logger,https://github.com/BbsonLin/flask-request-logger,26b87d56cf1dffb3f8d6a2ca8c2b1873b9d6a65e,180.0
flask-sqlalchemy-booster,https://github.com/SuryaSankar/flask-sqlalchemy-booster,e43980e29a18e725d791b87ce1b677470bbaf22c,160.0
flask-template-master,https://github.com/AKuederle/flask-template-master,d6d8d2747eccc6629658caf4295106db1b3326a1,180.0
flask_datepicker,https://github.com/mrf345/flask_datepicker,2dd57635413bddf73a0e064cd5b2f3a743b56f99,160.0
flightradar24,https://github.com/mkorkmaz/flightradar24,b8c14aa17c970672bf4f286aa6630192f450c3cd,180.0
fmi,https://github.com/kipe/fmi,c567622ad29a14a03645b8bc8c7565f315b53480,140.0
fonoapi,https://github.com/jakesherman/fonoapi,01248a6d3a9f56fa9613f387ae66820a73b48742,140.0
fontPens,https://github.com/robofab-developers/fontPens,101eb7075ed4daa07eecebb779b4d880e59a58eb,180.0
forkliftpy,https://github.com/castelao/supportdata,d0b878e2779120f3cdd2d5a241addc18e26f8616,160.0
freesia,https://github.com/AuraiProject/freesia,16834c17725edac74eb50fc5ce2ff1db6f3f4840,160.0
ftpsync,https://github.com/lpenz/ftpsync,bbf40b8ebd28762b92b70571e0d9a6e642ce3467,180.0
fuelwatcher,https://github.com/danielmichaels/fuelwatcher,1d2aa12016c227edfd47f3e2ca3e72db32000de6,160.0
gamble.git,https://github.com/jpetrucciani/gamble.git,d17b25899183a4c4b25fe644024ff754132ae513,200.0
gamry-parser,https://github.com/bcliang/gamry-parser,0e1f81fb8fd3e433e0df945a85b133ed70a416e4,180.0
gaplint,https://github.com/james-d-mitchell/gaplint,64fa97fef3a726ba07c99bc17706500c02564f0b,180.0
genhtml-markdown,https://github.com/aluriak/genhtml-markdown,67c903bce9e85184a5897bdc78106a8f2ec24902,180.0
geom,https://github.com/josiest/geom,d12b381706ee620cba1c6a6cb45ab7815e5a1dc9,200.0
get-wayback-machine,https://github.com/jfilter/get-wayback-machine,ae52b3f2d1dc74dc4e356f412361727e975c6771,180.0
git-profiles,https://github.com/popadi/git-profiles,ca20173f63f57c21868c4c49c1e5c515d4bc87fd,200.0
glia,https://github.com/dbbs-lab/glia,3484b9beefdb6b129b661c95a733b279431d6ecb,5.0
google-play-scraper,https://github.com/JoMingyu/google-play-scraper,24f715446dedea01461ef71244795973ce673f38,180.0
gplaycli,https://github.com/matlink/gplaycli,b161dbffa64ddc7081ca7c880ce27f84c2f0a0d8,160.0
gpuview,https://github.com/fgaim/gpuview,51f482de6f3360f9b403f8784112f20d42cdd924,160.0
gpx2spatialite,https://github.com/ptrv/gpx2spatialite,ea9224cbc32c49409371ff64884c3741353e548d,80.0
gqlmod-github,https://github.com/gqlmod/gqlmod-github,241044bc80dad7cd3b5ceb6790e373c2e089b1df,140.0
graphene_sa_optimizer,https://github.com/colanconnon/graphene_sa_optimizer,755895dcb13de649012096e97a7c9e2f8494e91d,180.0
grip,https://github.com/joeyespo/grip,27a4d6d87ea1d0ea7f7f120de55baabee3de73e3,200.0
gsmls,https://github.com/AlJohri/gsmls,04f9ce71f572686f785266a766f8a3dfd42cf152,180.0
gtsrvd,https://github.com/narfman0/gtsrvd,af78aa061c910658dfbc89d24171dff334b087f9,180.0
h5nav,https://github.com/clapeyre/h5nav,595040c2f9b65196ceaf18d1c2c58d848466a22c,174.0
hack-requests,https://github.com/boy-hack/hack-requests,f78ebc36edb08308222b00239850cefe87c77fb6,180.0
hawaiio.git,https://github.com/florimondmanca/hawaiio.git,4a8005d216b29e2f462be00c9285776651d0fa2b,160.0
hebcal,https://github.com/TheBestMoshe/hebcal,7d77d2137684342b91fa7402cc357316f23dcfa1,180.0
hirefire,https://github.com/ryanhiebert/hirefire,cf8686d127cc914cea350350b5bfe8acfa4163ce,200.0
hmmpy,https://github.com/klaapbakken/hmmpy,b5d95e72d0cce150db265e94cf623d1d57148607,140.0
hostopen,https://github.com/jaketreacher/hostopen,b1c8269aff13d4c2ec336cc8f366f42260c4e943,200.0
http-tracer,https://github.com/danielmichaels/http-tracer,aa1f6c7944caa71efc3b77acc73069701074b29f,160.0
httpproblem,https://github.com/cbornet/python-httpproblem,0b08139277e9cba02339eeb0996c0910d047274a,160.0
humansort,https://github.com/coreygirard/humansort,270c4ec6f239173e51f05e2d7f514697fdbbb445,200.0
hypernotes,https://github.com/binste/hypernotes,4c9b82b7431f6af565318df58c03e764e9490eff,180.0
hypothesis_sqlalchemy,https://github.com/lycantropos/hypothesis_sqlalchemy,6c68a065802d5efdfa3d805d9e4a79199ab46ea3,160.0
imgur-downloader,https://github.com/jtara1/imgur_downloader,1ff0e952b662e499f354dccf46022c678858b3af,200.0
impedance.py,https://github.com/ECSHackWeek/impedance.py,d1019c161be9e967ae227117b72acae4351e198f,180.0
instabrade,https://github.com/levi-rs/instabrade,73d027ce2e3b0141c7f1c83567151b5638905355,140.0
intake-avro,https://github.com/ContinuumIO/intake-avro,6b190edc24af86118ae930a13f955d9411810143,180.0
intake-stac,https://github.com/pangeo-data/intake-stac,d71b2d2b0ea2f8c89cb0310706c4de6d19406e17,180.0
irritable,https://github.com/timb07/irritable,6d250dd716890b7b78b2b42e2f04be3058b09856,200.0
italian_dictionary,https://github.com/sphoneix22/italian_dictionary,6758bf1afd6bfd85f874936f8f878246ab8209b4,200.0
jake,https://github.com/sonatype-nexus-community/jake,a1dd3401c8f3faac41dad8a836c2b3d9e7f4098d,180.0
jinja2-github,https://github.com/jcfr/jinja2-github,4012e5f87ea4b53d2eee406f91cf6738008636a0,180.0
jmcm,https://github.com/Xuerui-Yang/jmcm,e82574eaad2195944ec1899a41de238f8948f554,181.0
json-storage-manager,https://github.com/hefnawi/json-storage-manager,c7521fc4a576cf23a8c2454106bed6fb8c951b8d,140.0
jupytemplate,https://github.com/donlelef/jupytemplate,4e894f3b5ed8cdb00c181581840a12b002886677,180.0
jupyter-sigplot,https://github.com/LGSInnovations/jupyter-sigplot,498cda8f3648282cba84745d97e8973d2a02ed89,160.0
kafkian,https://github.com/saabeilin/kafkian,79eb88b874876632590fea48afcab09592c717dd,180.0
keplertools,https://github.com/dsavransky/keplertools,8a46aea897a7cd584c4c2afa1e5ea160f47aef6e,180.0
keras-layer-normalization,https://github.com/CyberZHG/keras-layer-normalization,12262dc34333f27b6b809a643b1906c9ed2d5cd9,200.0
keras-pos-embd,https://github.com/CyberZHG/keras-pos-embd,7f9d179d361a094272ba87eaae7cdeb935b35c72,160.0
keras-trans-mask,https://github.com/CyberZHG/keras-trans-mask,7d5420b2ac15ffba73ab4add7a17f1eb635a473c,160.0
keras-transformer,https://github.com/CyberZHG/keras-transformer,d84a50fd1986a7b343d2db024b60bfe5f3dc276b,180.0
keras-transformer-xl,https://github.com/CyberZHG/keras-transformer-xl,72c0072a71384a360c72522dec21f37293d1ba84,197.0
kindle-maker,https://github.com/jachinlin/kindle_maker,5c478bdaf3cb7d2e824f21462e72543d15c6cc95,160.0
kismet-py,https://github.com/autochthe/kismet-py,12c063b1f17d084d978ae8fe8405fd1527a82e15,60.0
kitsune,https://github.com/aluttik/kitsune,43824cccf46f433a71b30a7febc0e3500b831067,180.0
krllint,https://github.com/d4nuu8/krllint,2f9376cdae14c201364d9c31b4c19a8ff2f708d2,160.0
l293d,https://github.com/jamesevickery/l293d,c026a9b58769f23d3e999234ba9df30fb021f949,180.0
laminar,https://github.com/dgellerup/laminar,74258f6e6cc8b3b4e9eaf7cc522192a353a3b45e,179.0
langmodels,https://github.com/giganticode/langmodels,53462a755eb07cbbccdd179605185059634d6ac4,180.0
langsplit,https://github.com/mindey/langsplit,d30d47bd6f73852dc716f1e79225d8d49dc39daa,200.0
lathermail_client,https://github.com/reclosedev/lathermail_client,d20e74e7681f17d780f1b97203339c01bd9ff52a,200.0
latinwordnet,https://github.com/wmshort/latinwordnet,39c1af3bdf44521288fe41c5b1f551db37b6d38a,200.0
layouts,https://github.com/hid-io/layouts-python,0b036e1f1695b16e0e6e61540ef7ecd6047a5bd1,200.0
lazygrid,https://github.com/glubbdubdrib/lazygrid,ce290e9b2ce528088c5b65bdaf1a83e1a08aecdb,165.0
lazypr,https://github.com/sanjaz/lazypr,226895868769f613d9e905f265a4fd7c421d2fd4,180.0
lds-org,https://github.com/jidn/lds-org,e38c30b06c1059478a975cc565c615cb745d7f45,180.0
legomena,https://github.com/VictorDavis/legomena,274de31fdf345d440f1f8d6cb58eba836637e5a4,160.0
li,https://github.com/goldsborough/li,8ea4f8b55183aadaa96bc70cfcfcb7b198874319,160.0
libpythonpro,https://github.com/pythonprobr/libpythonpro,96480344e6dd16f8257f16cf273110781bf0d4b0,180.0
limitediterables,https://github.com/Poogles/limitediterables,3ce3bc28d5c4092db3d5499ad60339c007f4c0e0,180.0
limix-lmm,https://github.com/limix/limix-lmm,0f0a9875e6d0ed0511db54c911992332b76baa13,200.0
localshare,https://github.com/sunu/localshare,0bfada0682ab020ded70fc6bf796ba188b726292,80.0
logbeam,https://github.com/osperlabs/logbeam,05a6609d6ecd066a35c79ab4ff5726c3cb69f03d,80.0
logstash_logger,https://github.com/rcourivaud/logstash_logger,135f9b314428717909f4cda17298db7100b1e7d3,180.0
logx,https://github.com/djrobstep/logx,c53fabbc160fb8d70fa878684ea36f0c22fd5caa,200.0
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,200.0
lzdeb,https://github.com/mkjt2/lzdeb,ae84db7ca1af750e4decb35d238b40923c1adc8b,200.0
m3u-dump,https://github.com/stateya/m3u-dump,1ec3eeedb4c650af76c6c66859375ca2d2a6e1bc,180.0
